modelo,oponente,episodios,ganadas_entrenado,perdidas_entrenado,empates,porcentaje_victorias
trained_model_vs_Defensor_500_0.95_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,953,47,0,0.953
trained_model_vs_Defensor_500_0.95_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,940,60,0,0.94
trained_model_vs_Defensor_500_0.95_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,914,86,0,0.914
trained_model_vs_Defensor_500_0.95_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,895,105,0,0.895
trained_model_vs_Defensor_500_0.95_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,952,48,0,0.952
trained_model_vs_Defensor_500_0.95_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,937,63,0,0.937
trained_model_vs_Defensor_500_0.95_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,931,69,0,0.931
trained_model_vs_Defensor_500_0.95_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,895,105,0,0.895
trained_model_vs_Defensor_500_0.95_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,936,64,0,0.936
trained_model_vs_Defensor_500_0.99_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,456,544,0,0.456
trained_model_vs_Defensor_500_0.99_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,373,627,0,0.373
trained_model_vs_Defensor_500_0.99_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,551,449,0,0.551
trained_model_vs_Defensor_500_0.99_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,377,620,3,0.377
trained_model_vs_Defensor_500_0.99_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,363,636,1,0.363
trained_model_vs_Defensor_500_0.99_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,429,570,1,0.429
trained_model_vs_Defensor_500_0.99_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,460,536,4,0.46
trained_model_vs_Defensor_500_0.99_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,532,467,1,0.532
trained_model_vs_Defensor_500_0.99_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,511,488,1,0.511
trained_model_vs_Defensor_500_0.9_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,947,53,0,0.947
trained_model_vs_Defensor_500_0.9_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,941,58,1,0.941
trained_model_vs_Defensor_500_0.9_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,946,54,0,0.946
trained_model_vs_Defensor_500_0.9_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,938,62,0,0.938
trained_model_vs_Defensor_500_0.9_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,964,36,0,0.964
trained_model_vs_Defensor_500_0.9_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,953,47,0,0.953
trained_model_vs_Defensor_500_0.9_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,899,101,0,0.899
trained_model_vs_Defensor_500_0.9_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,948,52,0,0.948
trained_model_vs_Defensor_500_0.9_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,904,96,0,0.904
trained_model_vs_None_500_0.95_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,851,149,0,0.851
trained_model_vs_None_500_0.95_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,711,288,1,0.711
trained_model_vs_None_500_0.95_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,589,411,0,0.589
trained_model_vs_None_500_0.95_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,787,213,0,0.787
trained_model_vs_None_500_0.95_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,586,414,0,0.586
trained_model_vs_None_500_0.95_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,650,350,0,0.65
trained_model_vs_None_500_0.95_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,625,375,0,0.625
trained_model_vs_None_500_0.95_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,584,414,2,0.584
trained_model_vs_None_500_0.95_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,477,523,0,0.477
trained_model_vs_None_500_0.99_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,666,334,0,0.666
trained_model_vs_None_500_0.99_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,727,272,1,0.727
trained_model_vs_None_500_0.99_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,610,390,0,0.61
trained_model_vs_None_500_0.99_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,798,202,0,0.798
trained_model_vs_None_500_0.99_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,612,388,0,0.612
trained_model_vs_None_500_0.99_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,488,512,0,0.488
trained_model_vs_None_500_0.99_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,720,280,0,0.72
trained_model_vs_None_500_0.99_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,642,358,0,0.642
trained_model_vs_None_500_0.99_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,793,207,0,0.793
trained_model_vs_None_500_0.9_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,802,198,0,0.802
trained_model_vs_None_500_0.9_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,816,184,0,0.816
trained_model_vs_None_500_0.9_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,712,288,0,0.712
trained_model_vs_None_500_0.9_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,694,306,0,0.694
trained_model_vs_None_500_0.9_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,713,287,0,0.713
trained_model_vs_None_500_0.9_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,695,305,0,0.695
trained_model_vs_None_500_0.9_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,661,339,0,0.661
trained_model_vs_None_500_0.9_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,530,470,0,0.53
trained_model_vs_None_500_0.9_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,706,293,1,0.706
trained_model_vs_Random_500_0.95_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,946,54,0,0.946
trained_model_vs_Random_500_0.95_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,849,151,0,0.849
trained_model_vs_Random_500_0.95_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,959,41,0,0.959
trained_model_vs_Random_500_0.95_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,948,52,0,0.948
trained_model_vs_Random_500_0.95_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,927,73,0,0.927
trained_model_vs_Random_500_0.95_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,901,99,0,0.901
trained_model_vs_Random_500_0.95_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,912,87,1,0.912
trained_model_vs_Random_500_0.95_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,901,99,0,0.901
trained_model_vs_Random_500_0.95_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,933,67,0,0.933
trained_model_vs_Random_500_0.99_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,699,301,0,0.699
trained_model_vs_Random_500_0.99_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,465,534,1,0.465
trained_model_vs_Random_500_0.99_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,496,502,2,0.496
trained_model_vs_Random_500_0.99_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,822,178,0,0.822
trained_model_vs_Random_500_0.99_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,344,655,1,0.344
trained_model_vs_Random_500_0.99_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,567,432,1,0.567
trained_model_vs_Random_500_0.99_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,376,621,3,0.376
trained_model_vs_Random_500_0.99_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,381,619,0,0.381
trained_model_vs_Random_500_0.99_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,494,506,0,0.494
trained_model_vs_Random_500_0.9_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,934,66,0,0.934
trained_model_vs_Random_500_0.9_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,921,79,0,0.921
trained_model_vs_Random_500_0.9_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,960,40,0,0.96
trained_model_vs_Random_500_0.9_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,945,55,0,0.945
trained_model_vs_Random_500_0.9_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,931,69,0,0.931
trained_model_vs_Random_500_0.9_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,942,58,0,0.942
trained_model_vs_Random_500_0.9_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,892,108,0,0.892
trained_model_vs_Random_500_0.9_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,946,54,0,0.946
trained_model_vs_Random_500_0.9_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,938,62,0,0.938
